Year,NumberOfCandidates,NumberOfNamesRegistered,NumberOfNamesRevised,TotalNumberOfNames,RuralPollingPlaces,UrbanPollingPlaces,AdvancePollingPlaces,ValidBallotsFromBoxes,RejectedBallotsFromBoxes,UnmarkedBallotsFromBoxes,DeclinedBallots,VoterTurnoutTotal,VoterTurnoutPercentageOfList,FootNoteEnglish,FootNoteFrench
2022,897,10695373,45053,10740426,0,7277,795,4701959,15587,10685,4245,4732476,0.440622746,,
2018,823,9809118,436948,10246066,0,7648,771,5744860,15832,22910,22684,5806286,0.566684423,"Reduction reflects a restructuring of polling divisions from the introduction of technology, with no impact on elector allocations","La réduction s'explique par la restructuration des sections de vote qui a été opèrée dans le cadre de la mise en place des équipments technologiques, sans aucune incidence sur la répartition des électeurs"
2014,615,9248764,277267,9526031,0,24815,913,4820547,22885,12124,29937,4885493,0.512857139,,
2011,655,8761095,239280,9000375,0,24179,907,4316382,12892,5208,2335,4336817,0.481848479,,
2007,599,8377734,179919,8557653,0,27596,648,4423898,19654,10865,3412,4457829,0.520917242,,
2003,522,7331161,631446,7962607,4197,18584,594,4497244,20679,7613,2631,4528167,0.568678952,,
1999,568,6979815,618592,7598407,4795,16232,546,4390207,27708,9132,3564,4430611,0.583097352,,
1995,651,6388435,279363,6667798,5347,16130,627,4158370,26526,10038,5588,4200522,0.629971394,,
1990,615,6011112,304837,6315949,5316,15630,628,4018079,21134,10646,20795,4070654,0.644503938,,
1987,495,5814009,253369,6067378,5260,17187,642,3777311,17955,5657,3046,3803969,0.626954345,,
1985,442,5770749,179546,5950295,5274,16405,623,3635699,15243,5481,5710,3662133,0.615454024,,
1981,436,5371994,147210,5519204,5459,15981,512,3182484,13114,5098,2585,3203281,0.580388223,,
1977,472,5026766,97002,5123768,5935,15194,485,3341833,12869,4646,2085,3361433,0.656047073,,
1975,456,4706052,195785,4901837,5495,15373,513,3306397,12259,4220,1458,3324334,0.678181261,,
1971,384,4503142,0,4503142,4980,13267,470,3292717,18059,0,0,3310776,0.735214657,,
1967,366,3662895,22860,3685755,117,16651,117,2419710,19528,0,0,2439238,0.661801449,,
1963,337,3449118,-11284,3437834,104,15826,103,2165773,18305,0,0,2184078,0.635306417,,
1959,296,3196801,0,3196801,5022,8883,295,1882573,21272,0,0,1903845,0.595546923,,
1955,314,2905760,0,2905760,5993,6230,411,1761525,22622,0,0,1784147,0.614003565,,
1951,271,2750709,0,2750709,4982,6617,391,1776616,14219,4066,1459,1796360,0.653053449,,
1948,289,1758037,865244,2623281,2,0,92,1758037,15409,0,1485,1774931,0.676607272,,
1945,317,2165793,304167,2469960,5,0,106,1765793,15921,225,1451,1783390,0.722031936,,
1943,282,1313939,955956,2269895,4,0,90,1313939,9773,0,973,1324685,0.583588668,,
1937,266,2228030,200,2228230,6,0,80,1571133,15789,183,1299,1588404,0.712854598,,
1934,261,2330420,-200000,2130420,9968,0,102,1561826,15683,0,1584,1579093,0.741212061,,
1929,236,1804932,0,1804932,0,8642,88,1014310,6889,30,890,1022119,0.566292248,,
1926,241,1850996,-58239,1792757,0,8430,85,1146502,6123,0,662,1153287,0.643303582,,
1923,292,1687701,-32389,1655312,0,7294,0,953092,10693,0,2907,966692,0.583993833,,
1919,288,1337387,41334,1378721,0,7986,0,1176541,39262,0,8640,1224443,0.888100638,,
1914,240,772611,-74676,697935,0,5427,0,497138,5950,0,1354,504442,0.722763581,,
1911,207,581256,2653,583909,0,4117,0,369408,3281,0,1113,373802,0.640171671,,
1908,232,681564,-58813,622751,0,4430,0,450469,4864,0,1876,457209,0.73417626,,
1905,210,616996,-12330,604666,0,3901,0,445184,1973,0,46,447203,0.739586813,,
1902,216,582432,12949,595381,0,3707,0,434767,2420,0,38,437225,0.734361694,,
1898,201,525795,25010,550805,0,3616,0,427823,2456,0,37,430316,0.781249262,,
1894,209,539358,0,539358,0,3577,0,375277,2458,0,63,377798,0.700458693,,
1890,186,473853,11819,485672,0,3145,0,326671,1757,0,120,328548,0.676481247,,
1886,182,459495,3530,463025,0,2833,0,316606,2153,0,44,318803,0.688522218,,
1883,185,384255,0,384255,0,2485,0,259376,1668,0,54,261098,0.679491484,,
1879,189,392085,0,392085,0,2401,0,247857,0,0,0,247857,0.632151192,,
1875,181,283856,0,283856,0,1808,0,190966,0,0,0,190966,0.672756609,,
1871,159,207717,0,207717,0,1367,0,130711,0,0,0,130711,0.629274446,,
1867,173,215722,0,215722,0,703,0,159323,0,0,0,159323,0.738557032,,